NAME,DYNASTY,START,END,DEATH
Augustus,Julio-Claudian,-26,14,Natural Causes
Tiberius,Julio-Claudian,14,37,Maybe Assassinated
Caligula,Julio-Claudian,37,41,Assassinated-Praetorian Guard
Claudius,Julio-Claudian,41,54,Assassinated
Nero,Julio-Claudian,54,68,Suicide
Galba,Year of the Four Emperors,68,69,Assassinated-Praetorian Guard
Otho,Year of the Four Emperors,69,69,Suicide
Vitellius,Year of the Four Emperors,69,69,Assassinated
Vespasian,Flavian Dynasty,69,79,Natural Causes
Titus,Flavian Dynasty,79,81,Natural Causes
Domitian,Flavian Dynasty,81,96,Assassinated
Nerva,Nerva-Antonine Dynasty,96,98,Natural Causes
Trajan,Nerva-Antonine Dynasty,98,117,Natural Causes
Hadrian,Nerva-Antonine Dynasty,117,138,Natural Causes
Antonius Pius,Nerva-Antonine Dynasty,138,161,Natural Causes
Lucius Verus,Nerva-Antonine Dynasty,161,169,Natural Causes
Marcus Aurelius,Nerva-Antonine Dynasty,161,180,Natural Causes
Commodus,Nerva-Antonine Dynasty,177,192,Assassinated
Pertinax,Year of the Five Emperors,193,193,Assassinated-Praetorian Guard
Didius Julianus,Year of the Five Emperors,193,193,Executed
Septimius Severus,Severan Dynasty,193,211,Natural Causes
Caracalla,Severan Dynasty,198,217,Assassinated
Geta,Severan Dynasty,209,211,Assassinated
Macrinus,Severan Dynasty,217,218,Executed
Diadumenian,Severan Dynasty,217,218,Executed
Elagabalus,Severan Dynasty,218,222,Assassinated-Praetorian Guard
Severus Alexander,Severan Dynasty,222,235,Assassinated
Maximinius Thrax,Crisis of the Third Century,235,238,Assassinated-Praetorian Guard
Gordian I,Crisis of the Third Century,238,238,Suicide
Gordian II,Crisis of the Third Century,238,238,Died in Battle
Pupienus,Crisis of the Third Century,238,238,Assassinated-Praetorian Guard
Balbinus,Crisis of the Third Century,238,238,Assassinated-Praetorian Guard
Gordian III,Crisis of the Third Century,238,244,Maybe Assassinated
Philip the Arab,Crisis of the Third Century,244,249,Died in Battle
Decius,Crisis of the Third Century,249,251,Died in Battle
Herennius Etruscus,Crisis of the Third Century,249,251,Died in Battle
Hostilian,Crisis of the Third Century,251,251,Natural Causes
Trebonianus Gallus,Crisis of the Third Century,251,253,Assassinated
Volusianus,Crisis of the Third Century,251,253,Assassinated
Aemilian,Crisis of the Third Century,253,253,Assassinated
Valerian,Crisis of the Third Century,253,260,Died in Captivity
Gallienus,Crisis of the Third Century,253,268,Assassinated
Saloninus,Crisis of the Third Century,253,268,Assassinated
Claudius Gothicus,Crisis of the Third Century,268,270,Natural Causes
Quintillus,Crisis of the Third Century,270,270,Maybe Assassinated
Aurelian,Crisis of the Third Century,270,275,Assassinated-Praetorian Guard
Tacitus,Crisis of the Third Century,275,276,Maybe Assassinated
Florianus,Crisis of the Third Century,276,276,Assassinated
Probus,Crisis of the Third Century,276,282,Assassinated
Carus,Crisis of the Third Century,282,283,Natural Causes
Numerian,Crisis of the Third Century,283,284,Maybe Assassinated
Carinus,Crisis of the Third Century,283,285,Died in Battle
Diocletian,Tetrachy,284,305,Abdicated
Maximian,Tetrachy,286,305,Abdicated
Galerius,Tetrachy,305,311,Natural Causes
Constantius Chlorus,Tetrachy,305,306,Natural Causes
Valerius Severus,Tetrachy,306,307,Assassinated
Constantine the Great,Constantinian Dynasty,306,337,Natural Causes
Maxentius,Tetrachy,306,312,Died in Battle
Licinius,Tetrachy,308,324,Executed
Valerius Valens,Tetrachy,316,317,Executed
Martinian,Tetrachy,324,324,Executed
Maximinius II,Tetrachy,311,313,Suicide
Constantine II,Constantinian Dynasty,337,340,Died in Battle
Constantius II,Constantinian Dynasty,337,361,Natural Causes
Constans,Constantinian Dynasty,337,350,Assassinated
Vetranio,Constantinian Dynasty,350,350,Abdicated
Julian,Constantinian Dynasty,360,363,Died in Battle
Jovian, ,363,364,Natural Causes
Valentinian I,Valentinian Dynasty,364,375,Natural Causes
Valens,Valentinian Dynasty,364,378,Died in Battle
Gratian,Valentinian Dynasty,367,383,Assassinated
Valentinian II,Valentinian Dynasty,375,392,Maybe Assassinated
Theodosius I,Theodosian Dynasty,379,395,Natural Causes
Magnus Maximus,Theodosian Dynasty,383,388,Executed
Victor,Theodosian Dynasty,383,388,Executed
Honorius,Theodosian Dynasty,393,423,Natural Causes
Constantine III,Theodosian Dynasty,407,411,Executed
